Id,Nombre,Descricpion,UniversidadID
1,Facultad de Ciencias Económicas y Empresariales,Ofrece formación en áreas como administración economía y contaduría.,2
2,Facultad de Ingeniería,Especializada en diversas ramas de la ingeniería.,2
3,Facultad de Medicina,Forma profesionales en el área de la salud.,2
4,Facultad de Ciencias Sociales,Se enfoca en disciplinas como psicología y sociología.,2
5,Facultad de Ciencias Empresariales,Ofrece programas en administración marketing y finanzas.,3
6,Facultad de Derecho,Forma abogados con un enfoque en la ética y la justicia.,3
7,Facultad de Ingeniería,Incluye especialidades en ingeniería civil industrial y sistemas.,3
8,Facultad de Ciencias de la Salud,Enfocada en medicina enfermería y otras áreas relacionadas con la salud.,3
9,Facultad de Ciencias de la Educación,Ofrece programas orientados a la formación docente y a la investigación en el ámbito educativo.,4
10,Facultad de Ciencias Económicas y Empresariales,Proporciona formación en áreas como administración contaduría y economía preparando a los estudiantes para el mundo empresarial.,4
11,Facultad de Ingeniería,Se enfoca en la formación técnica y profesional en diversas ramas de la ingeniería incluyendo ingeniería comercial.,4
12,Facultad de Medicina,Ofrece una formación integral en medicina preparando a los futuros profesionales para enfrentar los desafíos del sistema de salud.,4
13,Facultad de Fisioterapia y Kinesiología,Especializada en la formación de profesionales en fisioterapia con un enfoque en la rehabilitación y el bienestar físico.,4
14,Facultad de Administración de Empresas Turísticas Hoteleras y Gastronómicas,Capacita a los estudiantes en la gestión y administración dentro del sector turístico y hotelero incluyendo aspectos gastronómicos.,4
15,Facultad de Ingeniería,Ofrece programas en diversas ramas de la ingeniería incluyendo Ingeniería de Sistemas y Ambiental preparando a los estudiantes para desafíos tecnológicos y ambientales.,5
16,Facultad de Ciencias de la Salud,Incluye carreras como Enfermería Fisioterapia y Kinesiología enfocándose en la formación de profesionales en el área de la salud.,5
17,Facultad de Ciencias Sociales y Humanidades,Proporciona formación en Psicología y Teología promoviendo un entendimiento profundo del comportamiento humano y los valores cristianos.,5
18,Facultad de Administración y Negocios,Se centra en la formación en áreas como Contaduría Pública y Administración de Negocios Internacionales preparando a los estudiantes para el mundo empresarial.,5
19,Facultad de Educación,Ofrece programas para formar educadores competentes incluyendo Psicopedagogía y Diplomados en Educación con un enfoque en metodologías modernas.,5
20,Facultad de Ciencias Empresariales,Ofrece programas en Administración de Empresas Ingeniería Comercial y Economía preparando a los estudiantes para enfrentar desafíos en el ámbito empresarial.,6
21,Facultad de Ingeniería,Proporciona formación en diversas ramas de la ingeniería incluyendo Ingeniería Financiera y Arquitectura enfocándose en la innovación y el desarrollo tecnológico.,6
22,Facultad de Ciencias Sociales y Humanidades,Incluye carreras como Psicología y Comunicación promoviendo un entendimiento profundo del comportamiento humano y la comunicación efectiva en diferentes contextos.,6
23,Facultad de Derecho,Forma profesionales con sólidos conocimientos jurídicos capacitados para ofrecer soluciones legales en el ámbito nacional e internacional.,6
24,Facultad de Diseño y Arte,Se centra en áreas como Diseño Gráfico y Artes Visuales fomentando la creatividad y la capacidad de comunicación visual en el contexto empresarial y social.,6
25,Facultad de Ciencias de la Salud,Ofrece carreras como Medicina Odontología Enfermería y Fisioterapia formando profesionales capacitados para atender las necesidades de salud de la comunidad.,7
26,Facultad de Ingeniería,Incluye programas en Ingeniería de Sistemas Electrónica y Biomédica preparando a los estudiantes para enfrentar desafíos tecnológicos y de innovación.,7
27,Facultad de Ciencias Administrativas,Proporciona formación en Administración de Empresas Contaduría Pública y Economía enfocándose en el desarrollo de habilidades gerenciales y financieras.,7
28,Facultad de Comunicación Social,Se centra en la formación en Comunicación Social promoviendo competencias en medios y relaciones públicas.,7
29,Facultad de Derecho,Forma profesionales con conocimientos jurídicos sólidos capacitados para ofrecer soluciones legales en el ámbito nacional e internacional.,7
30,Facultad de Artes y Escultura,Ofrece programas en Artes y Escultura fomentando la creatividad y el desarrollo artístico en diversas disciplinas.,7
31,Facultad de Ciencias Sociales,Incluye carreras como Psicología enfocándose en el estudio del comportamiento humano y su aplicación en contextos sociales.,7
32,Facultad de Ciencias de la Salud,Ofrece carreras como Licenciatura en Medicina Odontología Óptica y Optometría y Enfermería formando profesionales capacitados en el área de la salud.,8
33,Facultad de Ciencias y Tecnología,Incluye programas en Ingeniería Civil Ingeniería en Sistemas e Ingeniería en Geodesia y Topografía enfocándose en el desarrollo tecnológico y científico.,8
34,Facultad de Ciencias Económicas Jurídicas y Humanidades,Proporciona formación en Auditoría Derecho y Ciencias de la Educación preparando a los estudiantes para roles en el ámbito económico y social.,8
35,Facultad de Ciencias de la Salud,Ofrece carreras como Medicina Odontología Enfermería y Fisioterapia formando profesionales capacitados para atender diversas necesidades en el ámbito de la salud.,9
36,Facultad de Ingeniería,Incluye programas en Ingeniería Comercial e Ingeniería Financiera preparando a los estudiantes para enfrentar desafíos en el sector tecnológico y financiero.,9
37,Facultad de Ciencias Administrativas,Proporciona formación en Administración Estratégica de Empresas enfocándose en el desarrollo de habilidades gerenciales y estratégicas.,9
38,Facultad de Derecho,Forma abogados con sólidos conocimientos en diversas ramas del derecho incluyendo Derecho Procesal y Ciencias Forenses capacitados para ejercer en diferentes contextos legales.,9
39,Facultad de Comunicación Social,Se centra en la formación en Comunicación Social promoviendo competencias en redacción edición y gestión de proyectos digitales en marketing.,9
40,Facultad de Psicología,Ofrece programas que abordan diversas áreas de la psicología incluyendo Psicología Clínica y temas relacionados con la violencia y la intervención psicoanalítica.,9
41,Facultad de Ciencias Económicas y Empresariales,Ofrece programas en áreas como Administración de Empresas Contaduría Pública y Economía preparando a los estudiantes para el mundo empresarial.,10
42,Facultad de Ingeniería,Incluye carreras en Ingeniería Civil Ingeniería Industrial y Arquitectura enfocándose en la formación técnica y profesional en diversas disciplinas de la ingeniería.,10
43,Facultad de Ciencias y Artes,Proporciona formación en áreas artísticas y culturales promoviendo la creatividad y el desarrollo de habilidades en artes visuales y escénicas.,10
44,Facultad de Ciencias Sociales,Se centra en programas como Psicología y Trabajo Social formando profesionales capacitados para abordar problemas sociales y psicológicos.,10
45,Facultad de Ciencias del Medio Ambiente,Ofrece carreras que abordan la sostenibilidad y el manejo ambiental preparando a los estudiantes para enfrentar desafíos ecológicos contemporáneos.,10
46,Facultad de Ciencias Empresariales,Ofrece programas en Administración de Empresas Contaduría Pública Ingeniería en Gestión Empresarial e Ingeniería Comercial preparando a los estudiantes para el ámbito empresarial.,11
47,Facultad de Ciencias Tecnológicas,Incluye carreras como Ingeniería de Sistemas Ingeniería Mecatrónica e Ingeniería Industrial enfocándose en el desarrollo tecnológico y la innovación.,11
48,Facultad de Ciencias Sociales,Proporciona formación en Turismo y Hotelería Comunicación Social Publicidad y Marketing Diseño Gráfico y Gastronomía promoviendo habilidades creativas y comunicativas.,11
49,Facultad de Educación,Se centra en la formación pedagógica preparando a los futuros educadores para abordar diversos contextos educativos con un enfoque práctico.,11
