Id,Nombre,Descripcion,Criterios,UniversidadID
1,Beca de Vivienda o Albergue,Apoyo económico para estudiantes que no pueden costear una vivienda,Estudiantes con escasos recursos,2
2,Beca de Trabajo,Proporciona un monto mensual a cambio de trabajo además de raciones alimenticias en el comedor,Estudiantes que aceptan trabajar en la universidad,2
3,Beca para Elaboración de Tesis o Internado,Ayuda económica para estudiantes que están concluyendo su tesis,Estudiantes en proceso de elaboración de tesis,2
4,Beca Académica de Pregrado,Libera a los estudiantes de los costos de impresión de diplomas y títulos,Estudiantes que cumplen con los requisitos académicos establecidos,2
5,Beca de Extensión Universitaria,Vincula la formación de pregrado y posgrado facilitando el acceso a programas adicionales,Estudiantes que participan en programas de extensión universitaria,2
6,Beca de Deporte y Cultura,Beneficios para estudiantes que representan a la universidad en eventos deportivos y culturales,Deportistas y artistas que participan activamente en eventos representativos de la UMSS,2
7,Becas para Deportistas,Incluye ingreso libre a la UMSS alimentación gratuita en el comedor y becas económicas mensuales,Deportistas destacados que cumplen con requisitos específicos del reglamento deportivo,2
8,Beca Generación para Hijos de Graduados,Ofrece un 50% de descuento en carreras semestrales y un 25% en carreras anualizadas para hijos de graduados,Ser hijo de un graduado de la universidad,3
9,Becas Académicas,Proporcionan apoyo financiero a estudiantes con buen rendimiento académico,Mantener un promedio académico mínimo establecido por la universidad,3
10,Becas por Mérito,Reconocen a estudiantes destacados en diversas áreas como cultura deporte y liderazgo,Demostrar logros excepcionales en actividades extracurriculares o académicas,3
11,Beca de Trabajo,Permite a los estudiantes trabajar en la universidad a cambio de una compensación económica,Ser estudiante activo y cumplir con las horas requeridas de trabajo,3
12,Becas para Proyectos de Investigación,Apoyo financiero para estudiantes que deseen realizar proyectos de investigación durante su carrera,Presentar un proyecto viable que cumpla con los criterios establecidos por la universidad,3
13,Beca de Excelencia Académica,Apoyo financiero para estudiantes que demuestran un alto rendimiento académico en sus estudios,Mantener un promedio académico mínimo establecido por la universidad,4
14,Beca de Trabajo,Permite a los estudiantes trabajar en la universidad y recibir una compensación económica,Ser estudiante regular y cumplir con las horas requeridas de trabajo,4
15,Beca por Necesidad Económica,Ayuda económica para estudiantes que enfrentan dificultades financieras para continuar sus estudios,Demostrar necesidad económica mediante documentación pertinente,4
16,Beca de Investigación,Apoyo financiero para estudiantes que deseen realizar proyectos de investigación durante su carrera,Presentar un proyecto de investigación que cumpla con los criterios establecidos por la universidad,4
17,Beca por Actividades Extracurriculares,Reconocimiento y apoyo a estudiantes que participan activamente en actividades culturales o deportivas,Participación activa en eventos o programas organizados por la universidad,4
18,Beca de Excelencia Académica,Apoyo financiero para estudiantes con un rendimiento académico destacado,Mantener un promedio académico mínimo establecido por la universidad,5
19,Beca de Necesidad Económica,Ayuda económica destinada a estudiantes que enfrentan dificultades financieras,Demostrar necesidad económica mediante documentación pertinente,5
20,Beca para Hijos de Graduados,Descuentos en matrícula y pensiones para hijos de exalumnos de la universidad,Ser hijo de un graduado de la UAB,5
21,Beca de Servicio Comunitario,Reconocimiento y apoyo a estudiantes que participan en proyectos de servicio comunitario,Participar activamente en actividades de servicio organizadas por la universidad,5
22,Beca de Liderazgo,Apoyo a estudiantes que demuestran habilidades de liderazgo en actividades académicas o extracurriculares,Demostrar liderazgo en grupos estudiantiles o actividades universitarias,5
23,Beca de Excelencia Académica,Apoyo financiero para estudiantes con un rendimiento académico sobresaliente,Mantener un promedio académico mínimo establecido por la universidad,6
24,Beca de Necesidad Económica,Ayuda económica destinada a estudiantes que enfrentan dificultades financieras para continuar sus estudios,Demostrar necesidad económica mediante documentación pertinente,6
25,Beca por Mérito Deportivo,Reconocimiento y apoyo a estudiantes que destacan en actividades deportivas,Participación activa en eventos deportivos representando a la universidad,6
26,Beca de Trabajo Estudiantil,Oportunidad de trabajar en la universidad a cambio de una compensación económica,Ser estudiante regular y cumplir con las horas requeridas de trabajo,6
27,Beca para Proyectos de Investigación,Apoyo financiero para estudiantes que deseen realizar proyectos de investigación durante su carrera,Presentar un proyecto viable que cumpla con los criterios establecidos por la universidad,6
28,Becas Incentivo,Apoyo financiero para estudiantes de más de una veintena de carreras profesionales,Dirigido a bachilleres que buscan iniciar su formación universitaria,7
29,Becas por Necesidad Económica,Ayuda económica destinada a estudiantes que enfrentan dificultades financieras,Demostrar necesidad económica mediante documentación pertinente,7
30,Descuentos por Mérito Académico,Ofrece descuentos en matrícula para estudiantes con buen rendimiento académico,Mantener un promedio académico mínimo establecido por la universidad,7
31,Becas para Capacitación en el Extranjero,Oportunidades de capacitación y formación en el exterior para estudiantes destacados,Ser estudiante regular y cumplir con los requisitos del programa de capacitación,7
32,Becas de Trabajo Estudiantil,Posibilidad de trabajar dentro de la universidad a cambio de una compensación económica,Ser estudiante activo y cumplir con las horas requeridas de trabajo,7
33,Beca de Excelencia Académica,Apoyo financiero para estudiantes con alto rendimiento académico,Mantener un promedio académico mínimo establecido por la universidad,8
